Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,Hum,AllPrey,Bound,Post,Riv
75_01,0,0,0,0,-1.03,0.51,0.85,1.38,0.58,-0.99,-0.5,1.11,0.37,-1.26,-0.39,1.22
75_02,0,0,0,0,-0.36,1.76,-0.13,0.87,1.15,-0.63,-1.3,0.84,-0.65,-1.2,-0.22,1.21
75_03,0,0,0,1,-0.49,1.72,0.85,1.38,1.3,-0.09,-1.39,0.75,0.37,-1.14,-0.06,1.19
75_04,1,1,1,1,-1.05,0.8,0.85,1.25,0.94,-0.45,-0.97,1.02,0.37,-1.08,0.11,1.17
75_06,1,0,0,0,-1.03,1.32,0.36,1,1.01,-1.45,-1.11,1.11,-0.65,-1.03,0.3,1.16
75_07,0,0,0,0,-1.01,0.91,0.6,1.13,0.94,-0.72,-1.06,1.02,0.12,-0.97,0.47,1.14
75_08,0,0,0,0,-0.66,0.99,0.52,1.13,1.15,0.01,-1.25,0.93,0.12,-0.9,0.64,1.13
75_09,0,0,0,NA,-0.7,1.47,1.01,1.38,1.23,-0.18,-1.25,0.93,0.37,-0.84,0.79,1.12
78_01,0,0,0,NA,-0.87,-0.01,0.76,0.11,0.23,-2.17,0.15,-1.23,-0.39,0.61,-2.28,0.53
78_02,0,0,0,0,-1.07,1.24,0.76,-0.02,0.8,-2.81,-0.83,-1.23,-1.16,0.71,-2.11,0.47
78_03,0,0,0,0,-0.47,0.21,-0.05,-0.4,0.44,-1.81,-0.41,-1.23,-1.16,0.79,-1.96,0.41
78_04,0,0,0,0,0.18,-0.9,-0.38,-0.53,0.01,-0.36,0.1,-1.23,-0.39,0.87,-1.8,0.36
78_05,0,0,0,0,-0.78,0.99,-0.13,-0.4,0.58,-2.62,-0.64,-1.23,-1.67,0.61,-2.24,0.54
78_06,0,0,0,0,0.41,1.43,-1.44,-1.04,0.73,-2.53,-1.02,-1.23,-2.69,0.61,-2.08,0.55
78_07,0,0,0,0,1.28,0.95,-1.36,-1.04,0.51,-2.26,-0.74,-1.23,-2.43,0.62,-1.91,0.57
78_08,0,0,0,0,0.46,0.84,-1.2,-0.91,0.44,-2.17,-0.6,-1.14,-2.18,0.64,-1.75,0.57
78_09,0,0,0,0,-0.61,0.8,-0.71,-0.66,0.51,-2.53,-0.64,-1.14,-2.18,0.63,-1.6,0.58
78_10,0,0,0,1,-0.75,0.69,-0.3,-0.4,0.65,-1.35,-0.78,-1.14,-1.16,0.57,-1.46,0.61
78_11,1,0,0,0,-0.05,0.36,-0.46,-0.4,0.51,-0.63,-0.64,-1.05,-0.9,0.49,-1.34,0.65
78_12,0,0,0,0,0.68,-0.6,-0.38,-0.27,0.23,-0.18,-0.27,-1.05,-0.39,0.48,-1.23,0.65
78_13,0,0,NA,NA,0.5,-0.82,0.44,0.11,0.37,0.46,-0.32,-1.05,0.37,0.5,-1.16,0.63
92_01,0,0,0,0,0.44,0.99,-0.62,1.76,0.8,-1.08,-0.97,1.02,-0.65,-1.65,-1.18,1.29
92_02,0,1,1,1,0.26,0.62,-0.22,2.02,0.8,-0.09,-1.02,0.93,0.12,-1.6,-1.02,1.27
96_01,0,1,1,1,-0.07,-1.41,0.52,-0.27,0.15,0.73,0.06,-1.14,0.63,1.24,0.06,0.2
96_02,1,0,0,0,-1,-1.23,1.25,0.11,0.15,0.46,0.24,-1.14,1.13,1.19,-0.09,0.22
96_03,0,0,0,0,-1.11,-1.16,1.5,0.23,0.08,0.1,0.48,-1.14,1.39,1.21,-0.19,0.19
96_04,0,0,0,NA,-1.04,-1.01,1.09,-0.02,0.08,-0.18,0.43,-1.14,0.88,1.27,-0.2,0.13
97_01,0,0,0,0,-0.87,-0.79,1.5,0.11,0.01,-1.99,0.71,-1.23,0.63,1.39,-0.73,-0.07
97_02,0,0,0,0,-0.83,-1.23,1.74,0.23,-0.2,-1.35,1.04,-1.23,1.13,1.43,-0.57,-0.16
97_03,0,0,0,0,-1.02,-0.93,2.07,0.49,-0.06,-1.26,0.9,-1.14,1.39,1.42,-0.41,-0.24
97_04,0,0,0,0,-1.01,-0.49,1.42,-0.15,-1.27,0.46,1.6,-1.14,1.64,1.39,-0.25,-0.36
97_05,0,0,0,0,-0.73,-1.56,1.01,-0.4,-2.06,0.91,2.11,-1.14,1.64,1.34,-0.09,-0.48
97_07,0,0,0,0,-1.09,-1.08,0.36,-0.4,0.08,0.1,0.24,-1.23,0.37,1.33,-0.2,0.06
97_08,0,0,0,0,-1.06,-0.64,0.03,-0.53,0.3,-0.09,-0.18,-1.23,-0.14,1.4,-0.21,-0.01
97_09,0,1,1,0,-1.09,-1.34,0.52,-0.27,0.01,0.28,0.29,-1.23,0.63,1.47,-0.18,-0.09
97_10,1,0,0,0,0.45,-1.3,0.11,-0.66,0.08,0.46,0.06,-1.14,0.12,1.54,0.57,-0.68
97_11,0,0,0,0,0.64,-1.12,0.27,-0.53,-0.13,0.19,0.52,-1.14,0.37,1.51,0.42,-0.66
97_12,0,0,NA,NA,0.92,-1.49,0.27,-0.53,-0.2,0.1,0.66,-1.14,0.37,1.5,0.3,-0.59
110_01,0,0,0,0,-0.06,0.06,-0.54,1.76,0.58,-0.45,-0.74,1.11,-0.14,-1.57,-0.82,1.24
110_02,0,0,0,1,-0.04,1.06,-0.87,1.38,0.87,-1.08,-1.11,1.11,-0.9,-1.54,-0.66,1.22
110_03,0,0,0,0,-0.47,0.51,0.11,1.76,0.87,-0.09,-0.97,1.11,0.37,-1.48,-0.5,1.2
110_04,0,0,0,0,-0.71,1.21,-0.05,1.51,1.01,-0.72,-1.2,1.2,-0.39,-1.43,-0.34,1.17
