Detection Matrix,SO1,SO2,SO3,SO4,SO5,,Site Covariates,DistV,Post,Bound,PAS,W,C,Prey,,"Substrate
Det Cov",SO1,SO2,SO3,SO4,SO5,,"Effort
Det Cov",SO1,SO2,SO3,SO4,SO5,,,,
209,0,0,0,0,.,,209,22.77,15.98,14.81,0.66,21.36,0.18,0.81,,209,2.25,2,1.125,1.875,.,,209,8,8,8,8,.,,,195,0
210,1,0,1,1,.,,210,8.63,16.42,4.25,0.00,9.87,0.20,0.64,,210,2.125,1.75,2.5,3,.,,210,8,8,8,8,.,,,196,0
211,1,0,1,0,.,,211,2.48,16.81,6.93,0.00,9.02,0.23,0.23,,211,1.75,2,2.125,2.25,.,,211,8,8,8,8,.,,,204,1
224,0,0,0,0,.,,224,37.52,15.25,28.31,1.00,39.22,0.46,0.84,,224,1.125,1.25,1.125,1.875,.,,224,8,8,8,8,.,,,205,1
225,0,0,0,0,.,,225,27.00,7.25,19.84,0.98,35.79,0.49,0.85,,225,2,2.125,3.125,5,.,,225,8,8,8,8,.,,,206,1
226,1,0,1,1,.,,226,21.01,17.58,17.82,0.71,7.96,0.41,0.76,,226,2.875,3,3,2.75,.,,226,8,8,8,8,.,,,207,1
227,0,1,0,1,0,,227,18.00,28.23,10.72,0.03,8.14,0.49,0.73,,227,1.625,1.375,2,1.375,2.125,,227,8,8,8,8,8,,,208,1
228,1,0,0,0,.,,228,4.53,30.30,2.88,0.00,10.31,0.30,0.58,,228,1.125,1.75,2,2.4,.,,228,8,8,8,5,.,,,209,1
238,0,0,.,.,.,,238,33.23,26.03,28.04,0.05,12.43,0.86,0.70,,238,2.625,2.5,.,.,.,,238,8,4,.,.,.,,,210,0.753425778
239,0,0,0,.,.,,239,38.40,35.55,36.82,0.36,13.00,0.90,0.73,,239,3,2.875,2.5,.,.,,239,8,8,2,.,.,,,211,0.051411556
241,0,0,0,.,.,,241,45.15,31.98,33.01,1.00,8.83,0.70,0.75,,241,1.75,1.375,1.625,.,.,,241,8,8,8,.,.,,,212,0
242,0,0,0,0,.,,242,31.02,24.60,20.70,0.90,31.21,0.60,0.84,,242,1,1.5,1.5,1.125,.,,242,8,8,8,8,.,,,213,0
243,1,1,0,1,.,,243,16.82,20.48,7.91,0.03,9.13,0.44,0.72,,243,3.375,2.625,3,2.5,.,,243,8,8,8,8,.,,,224,1
244,1,1,1,1,.,,244,6.21,26.02,5.09,0.00,3.79,0.24,0.68,,244,2.625,2.25,2,3,.,,244,8,8,8,2,.,,,225,1
245,0,1,0,0,.,,245,6.62,36.94,3.02,0.00,9.88,0.35,0.65,,245,1.375,1.25,1.5,1.166666667,.,,245,8,8,8,6,.,,,226,1
246,1,0,1,.,.,,246,5.38,44.52,3.09,0.00,13.86,0.59,0.53,,246,2.625,3,3.5,.,.,,246,8,8,2,.,.,,,227,0.999999556
255,1,0,0,0,.,,255,18.92,7.03,8.50,0.00,16.06,0.81,0.73,,255,4,2.75,2.125,2,.,,255,8,8,8,2,.,,,228,0.578050667
257,1,0,0,0,.,,257,24.11,27.73,23.18,0.00,10.90,0.53,0.76,,257,1,2,3,2.875,.,,257,8,8,8,8,.,,,229,0
258,0,1,.,.,.,,258,32.13,21.45,23.31,0.00,15.94,0.30,0.74,,258,1.375,1.125,.,.,.,,258,8,8,.,.,.,,,230,0
259,0,0,0,0,0,,259,37.78,21.77,20.32,0.59,8.97,0.36,0.74,,259,1.5,1.5,1,1.25,1.5,,259,8,8,8,8,4,,,231,0
261,1,1,0,1,1,,261,15.01,20.81,5.32,0.00,44.11,0.12,0.76,,261,1,1,1.125,3.25,5,,261,8,8,8,8,4,,,238,1
273,0,0,0,1,.,,273,7.60,11.72,3.28,0.00,16.44,0.36,0.55,,273,1.875,2.125,1.25,5,.,,273,8,8,8,4,.,,,239,1
274,0,0,.,.,.,,274,6.59,20.39,5.01,0.00,7.21,0.20,0.60,,274,3.5,2,.,.,.,,274,8,4,.,.,.,,,241,1
275,0,0,0,0,.,,275,10.77,22.68,10.11,0.00,9.28,0.07,0.70,,275,1,1.5,1.25,1.125,.,,275,8,8,8,8,.,,,242,1
276,0,0,0,0,0,,276,21.93,9.65,8.92,0.00,10.10,0.05,0.71,,276,1,1,1.125,1,1,,276,8,8,8,8,1,,,243,0.962002667
279,0,1,1,0,.,,279,10.46,7.94,5.11,0.00,24.13,0.07,0.75,,279,1,1.125,2.25,2.5,.,,279,8,8,8,2,.,,,244,0.840741333
293,1,0,1,.,.,,293,8.59,24.68,3.37,0.00,18.18,0.00,0.47,,293,2.125,3.875,5,.,.,,293,8,8,8,.,.,,,245,0.740187556
362,1,1,0,.,.,,362,3.30,17.06,7.11,0.00,2.87,0.25,0.15,,362,2.25,2,2,.,.,,362,8,8,2,.,.,,,246,0.452401778
363,1,0,1,0,1,,363,8.20,15.62,3.25,0.00,7.30,0.55,0.66,,363,1.75,1.875,2,2.25,2.375,,363,8,8,8,8,8,,,247,0
364,1,1,1,.,.,,364,4.62,18.02,6.04,0.00,2.66,0.31,0.26,,364,2.375,1.625,1.5,.,.,,364,8,8,8,.,.,,,248,0
370,1,1,0,1,0,,370,4.42,6.05,3.91,0.00,6.02,0.33,0.29,,370,2.25,2.25,2.25,2.375,2,,370,8,8,8,8,2,,,255,0.989246222
371,0,1,0,1,0,,371,13.87,14.35,9.75,0.00,4.22,0.53,0.70,,371,2.625,2.875,2.75,2.75,3.428571429,,371,8,8,8,8,7,,,257,1
372,1,1,0,0,0,,372,8.25,27.83,5.03,0.00,6.60,0.29,0.70,,372,1.75,1.625,2.25,2.625,2.5,,372,8,8,8,8,4,,,258,1
373,1,0,1,1,.,,373,4.81,38.35,5.12,0.00,1.70,0.23,0.33,,373,2,2,1.75,1.5,.,,373,8,8,8,2,.,,,259,1
378,0,0,1,0,1,,378,5.81,14.07,4.84,0.00,9.63,0.40,0.67,,378,2.375,2.5,2.125,1.875,2,,378,8,8,8,8,1,,,261,0.892882667
380,0,0,1,0,1,,380,20.70,31.74,16.46,0.00,5.69,0.44,0.73,,380,2.75,2.5,2.25,2.25,2.625,,380,8,8,8,8,8,,,262,0.040352889
381,0,1,0,1,1,,381,14.04,42.36,6.84,0.00,5.41,0.17,0.77,,381,1.75,2.25,2.625,2.625,2.25,,381,8,8,8,8,8,,,263,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,0.439308444
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,0.823463556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,0.999670222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,0.998247556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,0.893396
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,0.003879111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,0.399350222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,0.139373333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,0.106074222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,0.049907111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,0.003995556
