Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,Hum,AllPrey,Bound,Post
258_04,0,0,0,1,0.31,-0.11,-0.49,-1.08,-0.73,0.8,1.32,0.62,0.17,-0.34,-0.45
259_01,1,0,0,0,-0.57,0.14,-0.31,0.15,-0.62,0.52,0.15,-0.44,-0.04,-0.07,0.09
259_02,1,0,0,0,-0.33,1.3,-0.95,-0.16,-0.35,0.17,-0.36,-0.49,-0.58,-0.15,-0.04
259_03,0,1,1,0,1.05,1.7,-1.18,-0.24,-0.35,0.17,-0.43,-0.49,-0.69,-0.24,-0.18
259_04,0,1,1,1,1.47,1.23,-0.6,0.07,-0.57,0.24,0.04,-0.44,-0.26,-0.32,-0.31
259_05,0,1,1,1,0.1,0.43,-0.2,-0.7,-0.14,0.73,0.12,0.49,-0.04,-0.39,-0.44
259_06,0,0,0,0,-0.77,-1.57,-0.26,-1.24,-0.62,0.8,1.21,0.62,0.28,-0.45,-0.56
259_07,0,0,1,1,0.22,-1.5,-0.83,-1.47,-0.62,0.8,1.1,0.58,-0.04,-0.47,-0.66
259_08,1,1,1,1,-0.03,-1.02,-0.78,-1.39,-0.67,0.8,1.18,0.58,-0.04,-0.49,-0.75
259_09,0,0,0,0,-0.78,-1.46,-0.78,-1.39,-0.73,0.8,1.29,0.58,0.06,-0.53,-0.84
261_01,0,0,0,0,0.05,-1.35,0.38,-0.7,-0.83,0.73,1.58,1.2,0.6,-0.79,-0.31
261_02,0,0,0,0,1.1,-1.53,-0.72,-1.08,-0.88,0.8,1.47,1.11,0.17,-0.87,-0.35
261_03,0,0,0,0,0.91,-1.53,-0.26,-0.85,-0.83,0.8,1.51,1.2,0.39,-0.95,-0.4
261_04,1,1,1,1,-0.25,-1.42,1.42,-0.08,-0.78,0.73,1.69,1.38,1.14,-1.03,-0.43
261_05,1,1,1,1,-0.93,-1.71,0.78,-0.31,-0.83,0.73,1.65,1.38,0.93,-1.11,-0.37
261_06,0,1,0,1,-0.51,-1.42,-0.54,-0.77,-0.78,0.8,1.36,1.38,0.28,-1.18,-0.27
261_07,1,1,1,0,-0.15,-0.77,-0.72,-0.7,-0.67,0.8,1.21,1.42,0.17,-1.25,-0.18
261_08,0,0,0,0,-0.3,-0.41,-2.28,-2.62,-2.32,0.38,0.92,2,-1.88,-1.27,-0.13
273_01,0,0,0,1,1.58,-0.41,-0.43,-0.39,0.97,0.73,-0.58,0.49,0.06,-1.08,-1.59
273_02,1,1,0,0,1.8,0.21,-0.6,-0.39,1.08,0.66,-0.8,0.49,-0.15,-1.05,-1.48
273_03,0,0,0,0,1.54,-0.59,-0.2,0,0.97,0.73,-0.54,0.53,0.17,-1.03,-1.35
273_04,0,0,0,0,1.18,0.58,-0.43,0.07,1.13,0.73,-0.95,0.58,-0.04,-1.07,-1.24
273_05,0,0,1,1,0.02,1.01,-0.54,0.23,1.18,0.59,-0.95,0.67,-0.04,-1.14,-1.11
273_06,1,0,0,0,-0.74,-0.33,-0.54,0.46,0.07,0.73,0.23,0.98,0.17,-1.21,-0.98
